CODE NAME,DESCRIPTION,EXAMPLE,
Accommodation,"Any adaptation to someone's job that must be approved by upper management. It must be an adaptation that comes from higher up in the organization. Outcomes encompass negative stigma or positive reactions to having an accommodation, to differentiate this from disclosure. It is possible to have an accommodation without disclosure. Also includes mentions of the word ""accommodation"" or managers ""being accommodating.""",,
Accommodation_NoDisclosure,"Someone seeks out accommodations without fully disclosing their status as having ADHD, or recommends/mentions this strategy. They may ask for some adaptation and say that it would help them work, for example, but not specify that this is because of ADHD.","""I would not tell them and just ask for some specific things because they help me focus, not because I have a mental disorder.""",
Accommodation_DifferentJobTasks,"When the accommodation is giving the person different responsibilities or tasks (could include more interesting tasks, etc). If it is also coded with SoftwareWorkActivity_Interviews, could indicate an alternate assessment type. ","""I have asked for a different kind of assessment. I told a company I was willing to send in a sample API I had done for another company. They accepted, but I didn’t get the job. I think you can try, but you’d be more successful doing what this poster recommends.""",
Accommodation_Process,When talking about the steps of getting an accommodation (not the process for reporting / or discrimination).,"""I most often see people try to manage
these issues on their own, then get put on a PIP and THEN decide to finally disclose to their employer and
get support they should have accessed much sooner. I've worked with large companies for years and I'm tired of seeing so many employees not advocate for themselves effectively.""",
Accommodation_Communication,"When the accommodation is meant to help improve explicit communication with co-workers or managers, e.g., communicating in a structured way or over text instead of in person.","""Alternative communication methods (example: Adopting “succinct”, “clear”, and “explicit” communication style in any conversations and emails with employee. Alternatively, provide lengthy and/or complex communication in written form.)""",
Accommodation_ShiftingDeadlines,Relaxing or shifting overall deadlines. Includes getting more time for things such as training or the like. Supercedes adjusted training.,"""It depends - is this part of formal training for a cert or to ramp up on a new product/program/etc? If so, it should be pretty easy to ask for an extension of the ramp up time.""",
Accommodation_Environment,"Adjusting the environment that someone works in in some way - this can include the environment in video calls (e.g., turning off your camera) or working from home / hybrid.","""Cubicle away from foot traffic for minimal distraction""",
Accommodation_AssistiveTech,"Objects that can be given to employees for support (i.e., a physically-visible object). ","""I even offered to bring in my gaming pc to use instead but they wouldn’t let me.""",
Accommodation_Personnel,"When support from a person (a therapist, job coach, translator, etc.) is given to someone as an accommodation.","""If your company will pay for job coaching as an accommodation, it's almost always the best way to go because a job coach will partner with you to co-design new tools/strategies for task initiation that
are tailored for you.""",
Accommodation_AdjustedTrainingMaterials,"Additional training materials or adjusted training / onboarding (if it is just additional time, it is shifted deadlines)","""Instead of asking for an extension of time,
I would probably recommend asking for access to additional training resources in accessible formats.""",
Accommodation_AdditionalNotes,More documentation or additional note taking for a task they need to do. Includes written write ups of things that wouldn't normally be written up and recorded meetings.,"""Written recaps after 1:1 detailing action items, expectations, and deadlines""",
Accommodation_OriginOfIdea_HigherUp,The idea for someone's specific accommodation comes from someone higher up in their organization.,"""She'd assign me to less time-sensitive work.""",
Accommodation_Unaware,"When the poster is not aware either that accommodations are possible, or what accommodations exist.","""I can’t imagine what kind of accommodations can be provided.""",
Accommodation_Other,Any other kind of accommodation.,"""Advanced noticed of public speaking expectations""",
Accommodation_Unhelpful,If the accommodation is found to be unhelpful.,"""gave me stapler and post-it notes so I could be more
organized and make to-do lists"". Lol. How is that supposed to help me as a software engineer?""",
Accommodation_Mixed,If the accommodation is found to be of mixed benefit.,,
Accommodation_Unlikely,If someone reports a specific accommodation is unlikely to happen or hard to get.,"""For example, employees will ask for things like extra time to complete work or reduced workload and these are \*never\* considered reasonable accommodations.""",
Accommodation_Likely,If someone reports that a specific accommodation is likely to happen or easy to get.,"""The good news is that testing and certifications are one of the only times that ""additional time"" is considered a reasonable accommodation. Usually it's not considered reasonable to get extra time to complete work, but it is considered reasonable to get extra time for training or certifications.""",
Accommodation_Reception,The hypothetical or real opinions or reactions of others to an accommodation someone received or asked for.,"""How an employer reacts to accommodations can tell you a lot about the company.""",
Accommodation_Status_Denied,"Accommodation(s) have been denied to someone, or were never received by someone.","""He said that he'd give me a summary after every meeting instead. Never did.""",
Accommodation_Status_Desired,Accommodation(s) are desired by someone or were asked for by someone.,""">• Extra time for learning new information
How do you swing this? The project I'm on is severely behind schedule because the learning curve for me has been treacherous.""",
Accommodation_Status_Granted,Accommodation(s) were granted to someone.,"""Instead of being given a huge and dry book, they paid for a  more interactive online course.""",
Accommodation_Structure_Feedback,"Adjusting the feedback someone receives from upper management, or adjusting how it is delivered.","""Alternative supervisory methods (example: supervisor provides feedback using Start, Stop, Continue method to ensure feedback is clear and actionable)""",
Accommodation_Structure_Schedule,"Adjusting the schedule someone has (e.g., meetings are only scheduled for them on Mondays). This includes adjusting total working hours.","""No more than 2 hours of b2b meetings""",
Accommodation_Structure_IncrementalDeadlines,When more deadlines or internal structure are added to a project.,"""For task initiation, it would really depend on what's causing the problem. For example, I see a lot of people who struggle with driving progress on long-term projects when they don't have clear milestones or accountability. If that's the case, then asking for an accommodation for more structured work might be helpful.""",
Accommodation_BossSupport,"When someone asks for assistance with a given strategy someone is employing (an assisted coping mechanism/strategy). The contribution of the granter of the accommodation may be ambiguous -- can be encouragement, reminders, etc.","""I told my boss that I sometimes have a hard time getting started and that I sometimes need a little push with that. I’m basically just trying to explain the minor ways he can support me.""",
ADHDPerceptions,"An opinion about how people with ADHD behave (maybe in contrast to others), what they can do, whether ADHD helps or hurts overall or in software engineering particularly, or a work impact that someone is speculating about generally. If the quote includes their own experience as supporting evidence, it should be tagged under WorkImpacts. Includes quotes where someone thinks something would affect neurotypical people or other people as well (must be a comparison to ADHD’ers). Also includes ideas about ADHD generally – is it a mental illness, a disability, a superpower, etc.",,
ADHDPerceptions_Negative,"When the perception of ADHD is negative, or that it affects work negatively for most.","""This might be true, but I would caution that I'm pretty sure I know more than most of my colleagues, but still feel like I don't know enough. And even when I absolutely do know enough, getting started doing it remains impossible. I think that's fairly typical with ADHD.""",
ADHDPerceptions_Positive,"When the perception of ADHD is positive, or that it affects work postively.","""Look on the bright side....ADHD primes you for learning new things!
The question is...does whatever they're going to ask you to do sound interesting for you to learn? If yes, you'll soak it up...""",
ADHDPerceptions_Mixed,"When the perception of ADHD is somewhat positive, somewhat negative (both facets must be mentioned).","""You're not ""dumb"" you just need extra help to manifest your intelligence. Medication is one kind of help, and once you're able to get some, you really should try again with the whole office job thing.""",
ADHDPerceptions_Neutral,"When the perception is not about how ADHD affects things, or is anything else. For example, how many people they think have ADHD in software, what diagnoses people think coexist with ADHD, etc. Or: anything where there is no explicit positive or negative connotation. ","""One thing I learned is that a huge number of us in co-development world that have similar neuro atypical conditions so what that means is that the very experienced interviewers in this realm, including myself, know comes with the territory""",
CopingMech,"A strategy someone uses to deal with an adverse effect at work. Does not necessarily have to be mentioned as a coping mechanism explicitly for ADHD. Includes context of a strategy/coping mechanism, like why it works. Also includes using medications to aid a specific work task. Includes coping mechanisms that someone has tried, but hasn’t worked for them.",,
